Number of Gene with a close MF GOSlim;59
Number of Gene with a close BP GOSlim;139
Number of Gene with a close CC GOSlim;44
Compute Number Gene :;242


GOSlim;Ontology;count of gene
GO:0044237;biological_process;50
GO:0006396;biological_process;3
GO:0044271;biological_process;13
GO:0006006;biological_process;2
GO:0044428;cellular_component;2
GO:0044419;biological_process;1
GO:0015706;biological_process;2
GO:0019783;molecular_function;1
GO:0001882;molecular_function;5
GO:0006468;biological_process;4
GO:0043229;cellular_component;22
GO:0045488;biological_process;1
GO:0016117;biological_process;1
GO:0018212;biological_process;2
GO:0009898;cellular_component;1
GO:0005622;cellular_component;29
GO:0009250;biological_process;14
GO:0006575;biological_process;1
GO:0030258;biological_process;1
GO:0031327;biological_process;1


